strategy,retriever,candidate_k,n_questions,any_expected_page_rate,mean_expected_page_recall,all_expected_pages_rate,mean_mrr,mean_retrieval_seconds,median_retrieval_seconds
sentence_6_overlap_3,bm25,10,140,0.9285714285714286,0.8988095238095237,0.8714285714285714,0.7502040816326531,0.015381331335718836,0.014968277000036778
sentence_6_overlap_3,bm25,20,140,0.9714285714285714,0.9470238095238096,0.9214285714285714,0.7531493506493506,0.013419921071430606,0.012907855500031928
sentence_6_overlap_3,bm25,30,140,0.9785714285714285,0.9613095238095238,0.9428571428571428,0.7534469696969697,0.014099605928571788,0.013352267500067683
sentence_6_overlap_3,bm25,40,140,0.9785714285714285,0.9648809523809524,0.95,0.7534469696969697,0.015212741785710802,0.01440903099995694
sentence_6_overlap_3,dense,10,140,0.9857142857142858,0.9625,0.9428571428571428,0.9091950113378685,0.01393378865714031,0.01192917300005547
sentence_6_overlap_3,dense,20,140,0.9928571428571429,0.9857142857142858,0.9785714285714285,0.9095709511874925,0.013575770735717795,0.01131473850000475
sentence_6_overlap_3,dense,30,140,0.9928571428571429,0.9892857142857143,0.9857142857142858,0.9095709511874925,0.013366802071428603,0.011567637500036199
sentence_6_overlap_3,dense,40,140,1.0,1.0,1.0,0.9098013659340363,0.014684145507140199,0.0123767345000374
sentence_6_overlap_3,hybrid_rrf,10,140,0.9857142857142858,0.9696428571428571,0.9571428571428572,0.9022108843537415,0.030049157157145602,0.02770623300011721
sentence_6_overlap_3,hybrid_rrf,20,140,0.9928571428571429,0.9839285714285714,0.9714285714285714,0.8840759637188208,0.027796033450003473,0.026217659999986154
sentence_6_overlap_3,hybrid_rrf,30,140,0.9928571428571429,0.9839285714285714,0.9714285714285714,0.8814076858813701,0.030161317457138435,0.026426200000059907
sentence_6_overlap_3,hybrid_rrf,40,140,1.0,0.9964285714285714,0.9928571428571429,0.8803854875283447,0.03051514801429757,0.027547061500001746
sentence_8_overlap_4,bm25,10,140,0.9142857142857143,0.8845238095238095,0.8571428571428571,0.7798412698412699,0.012520701650001749,0.011756960500008518
sentence_8_overlap_4,bm25,20,140,0.9571428571428572,0.930952380952381,0.9071428571428571,0.7829887106357695,0.010461641935714689,0.010068840000030832
sentence_8_overlap_4,bm25,30,140,0.9857142857142858,0.9648809523809524,0.9428571428571428,0.7842617000686968,0.010861859378578791,0.010224351999966075
sentence_8_overlap_4,bm25,40,140,0.9857142857142858,0.9720238095238096,0.9571428571428572,0.7842617000686968,0.011675462599997185,0.010999024999989615
sentence_8_overlap_4,dense,10,140,0.9785714285714285,0.9625,0.9428571428571428,0.8931632653061224,0.012943897600005779,0.011764684999945985
sentence_8_overlap_4,dense,20,140,0.9857142857142858,0.9785714285714285,0.9714285714285714,0.8937585034013605,0.012508411442851346,0.011164366000002701
sentence_8_overlap_4,dense,30,140,1.0,0.9964285714285714,0.9928571428571429,0.8943308477237049,0.013018084028569124,0.011730654999951184
sentence_8_overlap_4,dense,40,140,1.0,1.0,1.0,0.8943308477237049,0.013493632021427565,0.012326313999949434
sentence_8_overlap_4,hybrid_rrf,10,140,0.9857142857142858,0.9660714285714286,0.95,0.8819642857142856,0.0253851300857158,0.02414874749996443
sentence_8_overlap_4,hybrid_rrf,20,140,0.9928571428571429,0.9839285714285714,0.9714285714285714,0.8877168367346938,0.023991887950003437,0.022639601000037146
sentence_8_overlap_4,hybrid_rrf,30,140,1.0,0.9964285714285714,0.9928571428571429,0.8937119195504288,0.024426260335714493,0.023102887999982613
sentence_8_overlap_4,hybrid_rrf,40,140,1.0,0.9964285714285714,0.9928571428571429,0.892734693877551,0.026524930871430895,0.024675977000015337
word_180_overlap_40,bm25,10,140,0.95,0.918452380952381,0.8857142857142857,0.7938293650793651,0.007362998157147364,0.007103660500092701
word_180_overlap_40,bm25,20,140,0.9857142857142858,0.9613095238095238,0.9357142857142857,0.796187558356676,0.005967287699996047,0.005615247999912754
word_180_overlap_40,bm25,30,140,0.9857142857142858,0.9720238095238096,0.9571428571428572,0.796187558356676,0.0061686827357042215,0.005921652999973048
word_180_overlap_40,bm25,40,140,0.9857142857142858,0.9791666666666667,0.9714285714285714,0.796187558356676,0.0069076375714238174,0.006456273499907184
word_180_overlap_40,dense,10,140,0.9785714285714285,0.9732142857142857,0.9642857142857143,0.8666751700680273,0.014752394607138999,0.012142674000074294
word_180_overlap_40,dense,20,140,1.0,1.0,1.0,0.8681225384890798,0.013625467692863172,0.011569303499982198
word_180_overlap_40,dense,30,140,1.0,1.0,1.0,0.8681225384890798,0.014359289492858807,0.011938044999965314
word_180_overlap_40,dense,40,140,1.0,1.0,1.0,0.8681225384890798,0.01441562191428472,0.012657601000000795
word_180_overlap_40,hybrid_rrf,10,140,0.9857142857142858,0.9696428571428571,0.9571428571428572,0.8853854875283447,0.02099400429286951,0.019529121500113433
word_180_overlap_40,hybrid_rrf,20,140,1.0,0.9946428571428572,0.9857142857142858,0.8902763605442177,0.020007698121436792,0.018343180500096423
word_180_overlap_40,hybrid_rrf,30,140,1.0,1.0,1.0,0.8890362811791382,0.021004100371435797,0.019552951500031668
word_180_overlap_40,hybrid_rrf,40,140,1.0,1.0,1.0,0.8886989795918367,0.022079980221427115,0.020482528499996988
word_280_overlap_60,bm25,10,140,0.95,0.918452380952381,0.8857142857142857,0.7870408163265306,0.005587609721422788,0.005481794000047557
word_280_overlap_60,bm25,20,140,0.9785714285714285,0.9636904761904761,0.9428571428571428,0.7893058132343848,0.004759663835714686,0.004433856500099864
word_280_overlap_60,bm25,30,140,0.9785714285714285,0.9708333333333332,0.9571428571428572,0.7893058132343848,0.00513505847856907,0.005000351500029865
word_280_overlap_60,bm25,40,140,0.9785714285714285,0.9708333333333332,0.9571428571428572,0.7893058132343848,0.005670742799999776,0.005434128000047167
word_280_overlap_60,dense,10,140,1.0,0.9875,0.9714285714285714,0.8552267573696145,0.013253408164280245,0.012073219499939114
word_280_overlap_60,dense,20,140,1.0,1.0,1.0,0.8552267573696145,0.012746828957129504,0.011654058999965855
word_280_overlap_60,dense,30,140,1.0,1.0,1.0,0.8552267573696145,0.013598596757148178,0.012383817999989333
word_280_overlap_60,dense,40,140,1.0,1.0,1.0,0.8552267573696145,0.014417487714290798,0.013032701500037547
word_280_overlap_60,hybrid_rrf,10,140,1.0,0.9892857142857143,0.9785714285714285,0.8668140589569161,0.018947628078587644,0.01752545850001752
word_280_overlap_60,hybrid_rrf,20,140,1.0,0.9946428571428572,0.9857142857142858,0.8624350649350649,0.018571140721434988,0.016503206000038517
word_280_overlap_60,hybrid_rrf,30,140,1.0,0.9964285714285714,0.9928571428571429,0.8600541125541126,0.019669902228583527,0.017566940000051545
word_280_overlap_60,hybrid_rrf,40,140,1.0,1.0,1.0,0.859103872318158,0.020482880207147707,0.018732807500100535
